id,age,education,education_num,marital_status,occupation,relationship,race,gender,hours_per_week,native_country,greater_than_50k,age_standarized
50,29.0, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Male,43.0, United-States,0,-0.7932292767334485
51,25.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, Other, Female,40.0, United-States,0,-1.1269936020045122
56,43.0, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,40.0, United-States,1,0.3749458617152747
58,35.0, Assoc-voc,11.0, Married-civ-spouse, Other-service, Husband, White, Male,40.0, Puerto-Rico,0,-0.2925827888268528
59,41.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,48.0, United-States,0,0.2080636990797428
60,30.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40.0, United-States,0,-0.7097881954156825
61,30.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,0,-0.7097881954156825
63,48.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,40.0, United-States,0,0.7921512683041044
64,42.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,45.0, United-States,1,0.2915047803975087
66,36.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0,-0.2091417075090868
67,28.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0,-0.8766703580512144
68,53.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,40.0, United-States,1,1.209356674892934
69,49.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,1,0.8755923496218704
70,25.0, Some-college,10.0, Never-married,new_missing, Own-child, White, Male,40.0, United-States,0,-1.1269936020045122
72,31.0, Bachelors,13.0, Separated, Sales, Own-child, Black, Female,40.0, United-States,0,-0.6263471140979165
74,23.0, Some-college,10.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,40.0, United-States,0,-1.293875764640044
76,27.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,40.0, Mexico,0,-0.9601114393689804
77,40.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,0,0.1246226177619768
82,52.0, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, White, Male,40.0, Cuba,0,1.125915593575168
83,46.0, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White, Female,40.0, United-States,0,0.6252691056685725
84,59.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,48.0, United-States,0,1.7100031627995298
85,44.0, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Female,40.0, United-States,1,0.4583869430330407
86,53.0, HS-grad,9.0, Divorced, Sales, Own-child, White, Female,35.0, United-States,0,1.209356674892934
87,49.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,40.0, United-States,1,0.8755923496218704
88,33.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,50.0, United-States,0,-0.4594649514623847
89,30.0, 9th,5.0, Never-married, Sales, Not-in-family, White, Male,40.0, United-States,0,-0.7097881954156825
90,43.0, Doctorate,16.0, Never-married, Prof-specialty, Not-in-family, White, Female,50.0, United-States,1,0.3749458617152747
91,57.0, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,0,1.543121000163998
92,37.0, Some-college,10.0, Divorced, Craft-repair, Unmarried, White, Female,40.0, United-States,0,-0.1257006261913209
94,30.0, HS-grad,9.0, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,35.0,new_missing,0,-0.7097881954156825
95,34.0, Bachelors,13.0, Married-civ-spouse, Protective-serv, Husband, White, Male,40.0, United-States,1,-0.3760238701446187
96,29.0, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,50.0, United-States,0,-0.7932292767334485
98,37.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,48.0, United-States,1,-0.1257006261913209
99,48.0, Assoc-acdm,12.0, Divorced, Exec-managerial, Unmarried, White, Female,40.0, England,0,0.7921512683041044
100,32.0, HS-grad,9.0, Never-married, Other-service, Own-child, Black, Male,40.0, United-States,0,-0.5429060327801506
101,76.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,1,3.1285015452015505
103,47.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,50.0, United-States,0,0.7087101869863385
104,20.0, Some-college,10.0, Never-married, Tech-support, Own-child, White, Female,40.0, United-States,0,-1.544199008593342
105,29.0, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,40.0, United-States,0,-0.7932292767334485
106,32.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1,-0.5429060327801506
108,30.0, 11th,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,40.0, United-States,0,-0.7097881954156825
109,31.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0,-0.6263471140979165
110,42.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40.0, United-States,0,0.2915047803975087
111,24.0, Bachelors,13.0, Never-married, Sales, Other-relative, White, Male,40.0, United-States,0,-1.210434683322278
112,38.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1,-0.0422595448735549
113,56.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,50.0, Canada,1,1.459679918846232
115,36.0, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Female,40.0, United-States,0,-0.2091417075090868
116,53.0, 9th,5.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50.0, United-States,0,1.209356674892934
117,56.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,50.0, United-States,0,1.459679918846232
118,49.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,40.0, United-States,1,0.8755923496218704
120,22.0, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,41.0, United-States,0,-1.37731684595781
121,21.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,40.0, United-States,0,-1.460757927275576
123,30.0, Bachelors,13.0, Never-married, Exec-managerial, Own-child, Black, Male,40.0, Germany,0,-0.7097881954156825
124,29.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,50.0, United-States,1,-0.7932292767334485
125,19.0, Some-college,10.0, Never-married, Other-service, Own-child, Black, Male,35.0, United-States,0,-1.627640089911108
126,47.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,40.0, United-States,1,0.7087101869863385
128,31.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,1,-0.6263471140979165
129,35.0, HS-grad,9.0, Married-civ-spouse,new_missing, Husband, White, Male,40.0, United-States,0,-0.2925827888268528
130,39.0, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,40.0, United-States,0,0.0411815364442109
132,24.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,40.0, United-States,0,-1.210434683322278
133,38.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,35.0, United-States,0,-0.0422595448735549
134,37.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,50.0, United-States,0,-0.1257006261913209
135,46.0, Assoc-acdm,12.0, Divorced, Tech-support, Not-in-family, Black, Female,36.0, United-States,0,0.6252691056685725
136,38.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, Iran,1,-0.0422595448735549
138,27.0, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,35.0, United-States,0,-0.9601114393689804
140,49.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40.0, United-States,1,0.8755923496218704
141,61.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0,1.8768853254350617
142,27.0, Some-college,10.0, Never-married, Sales, Own-child, White, Female,40.0, United-States,0,-0.9601114393689804
144,45.0, Assoc-voc,11.0, Never-married, Prof-specialty, Not-in-family, White, Female,40.0, United-States,1,0.5418280243508066
145,70.0, Some-college,10.0, Never-married, Tech-support, Other-relative, White, Male,40.0, United-States,0,2.6278550572949557
149,64.0, 11th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0,2.12720856938836
150,43.0, Some-college,10.0, Divorced,new_missing, Not-in-family, White, Female,40.0, United-States,0,0.3749458617152747
151,47.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,38.0, Mexico,0,0.7087101869863385
152,34.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0,-0.3760238701446187
153,33.0, Bachelors,13.0, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40.0, Philippines,0,-0.4594649514623847
154,21.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,35.0, United-States,0,-1.460757927275576
155,52.0, HS-grad,9.0, Divorced,new_missing, Not-in-family, White, Male,45.0, United-States,1,1.125915593575168
156,48.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,46.0, United-States,0,0.7921512683041044
157,23.0, Bachelors,13.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,40.0, United-States,0,-1.293875764640044
160,42.0, Bachelors,13.0, Separated, Other-service, Other-relative, Black, Male,50.0, United-States,0,0.2915047803975087
162,25.0, HS-grad,9.0, Never-married, Other-service, Unmarried, White, Female,40.0, United-States,0,-1.1269936020045122
163,44.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40.0, United-States,0,0.4583869430330407
164,28.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40.0, England,0,-0.8766703580512144
165,45.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,1,0.5418280243508066
166,36.0, Some-college,10.0, Divorced, Other-service, Unmarried, White, Female,40.0, Mexico,0,-0.2091417075090868
167,39.0, Assoc-acdm,12.0, Never-married, Exec-managerial, Not-in-family, White, Male,42.0, United-States,0,0.0411815364442109
168,46.0, Masters,14.0, Widowed, Protective-serv, Unmarried, White, Male,40.0, United-States,0,0.6252691056685725
171,27.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,40.0, United-States,0,-0.9601114393689804
172,28.0, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,40.0, United-States,0,-0.8766703580512144
173,51.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,1,1.0424745122574022
174,27.0, Bachelors,13.0, Never-married, Craft-repair, Not-in-family, White, Male,50.0, United-States,0,-0.9601114393689804
175,28.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1,-0.8766703580512144
177,21.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,40.0, United-States,0,-1.460757927275576
178,34.0, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40.0, United-States,0,-0.3760238701446187
181,44.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38.0, United-States,1,0.4583869430330407
182,43.0, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0,0.3749458617152747
183,30.0, Some-college,10.0, Never-married, Craft-repair, Not-in-family, Black, Male,45.0, United-States,0,-0.7097881954156825
185,37.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,42.0, United-States,1,-0.1257006261913209
186,34.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40.0, United-States,0,-0.3760238701446187
187,41.0, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, White, Female,40.0, United-States,0,0.2080636990797428
188,53.0, Bachelors,13.0, Divorced,new_missing, Not-in-family, White, Female,50.0, United-States,0,1.209356674892934
189,31.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,50.0, United-States,0,-0.6263471140979165
192,24.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40.0, United-States,0,-1.210434683322278
193,41.0, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,40.0, United-States,0,0.2080636990797428
194,47.0, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,45.0, United-States,0,0.7087101869863385
197,36.0, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,40.0, United-States,0,-0.2091417075090868
199,35.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40.0, United-States,1,-0.2925827888268528
200,24.0, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Male,40.0, United-States,0,-1.210434683322278
201,26.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0,-1.0435525206867462
202,19.0, HS-grad,9.0, Never-married,new_missing, Own-child, White, Male,40.0, Italy,0,-1.627640089911108
203,51.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, United-States,1,1.0424745122574022
204,42.0, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0,0.2915047803975087
205,37.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,35.0, United-States,0,-0.1257006261913209
206,18.0, 11th,7.0, Never-married, Sales, Own-child, White, Female,40.0, United-States,0,-1.7110811712288738
207,36.0, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, Black, Male,36.0, United-States,1,-0.2091417075090868
209,58.0, HS-grad,9.0, Married-civ-spouse, Sales, Wife, White, Female,35.0, United-States,1,1.6265620814817638
211,44.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,40.0, United-States,0,0.4583869430330407
212,37.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1,-0.1257006261913209
213,35.0, Some-college,10.0, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40.0, United-States,0,-0.2925827888268528
214,60.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40.0, United-States,0,1.7934442441172955
217,50.0, Assoc-acdm,12.0, Divorced, Sales, Not-in-family, White, Female,40.0, United-States,0,0.9590334309396364
218,38.0, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,50.0, Poland,0,-0.0422595448735549
220,25.0, 10th,6.0, Never-married, Craft-repair, Not-in-family, White, Male,40.0, United-States,0,-1.1269936020045122
221,31.0, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40.0, United-States,0,-0.6263471140979165
226,18.0, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,40.0, United-States,0,-1.7110811712288738
228,66.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,50.0, United-States,0,2.2940907320238915
230,65.0, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0,2.210649650706125
231,35.0, 11th,7.0, Separated, Transport-moving, Not-in-family, Black, Male,40.0, United-States,0,-0.2925827888268528
232,41.0, HS-grad,9.0, Divorced, Sales, Unmarried, Black, Female,38.0, United-States,0,0.2080636990797428
233,25.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Male,42.0, United-States,0,-1.1269936020045122
234,33.0, Some-college,10.0, Divorced, Craft-repair, Other-relative, Other, Female,40.0, United-States,0,-0.4594649514623847
236,59.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,40.0, United-States,0,1.7100031627995298
237,40.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,38.0, United-States,0,0.1246226177619768
238,41.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,50.0, Iran,1,0.2080636990797428
240,23.0, HS-grad,9.0, Never-married, Transport-moving, Own-child, White, Male,40.0, United-States,0,-1.293875764640044
241,40.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,1,0.1246226177619768
243,24.0, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,50.0, United-States,0,-1.210434683322278
245,38.0, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,40.0, United-States,0,-0.0422595448735549
246,56.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,35.0,new_missing,0,1.459679918846232
247,58.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,45.0, United-States,1,1.6265620814817638
248,32.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,34.0, United-States,0,-0.5429060327801506
250,45.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0,new_missing,0,0.5418280243508066
251,41.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,40.0, United-States,1,0.2080636990797428
252,42.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Wife, Black, Female,40.0, United-States,0,0.2915047803975087
254,19.0, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Male,40.0, United-States,0,-1.627640089911108
256,42.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,40.0, Cambodia,1,0.2915047803975087
257,20.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Female,40.0, United-States,0,-1.544199008593342
259,45.0, Assoc-voc,11.0, Widowed, Exec-managerial, Not-in-family, White, Female,45.0, United-States,0,0.5418280243508066
261,36.0, Bachelors,13.0, Divorced, Prof-specialty, Own-child, White, Female,40.0, United-States,0,-0.2091417075090868
264,59.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,0,1.7100031627995298
265,26.0, 11th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0,-1.0435525206867462
268,64.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,1,2.12720856938836
269,33.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,45.0, United-States,0,-0.4594649514623847
270,33.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Wife, White, Female,40.0, United-States,1,-0.4594649514623847
271,61.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,1,1.8768853254350617
274,27.0, Masters,14.0, Never-married, Prof-specialty, Own-child, White, Male,35.0, United-States,0,-0.9601114393689804
275,30.0, HS-grad,9.0, Divorced, Prof-specialty, Own-child, White, Female,40.0, United-States,0,-0.7097881954156825
276,43.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40.0, United-States,0,0.3749458617152747
277,44.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1,0.4583869430330407
278,35.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,40.0, United-States,0,-0.2925827888268528
279,25.0, Some-college,10.0, Never-married, Tech-support, Own-child, White, Female,40.0, United-States,0,-1.1269936020045122
280,24.0, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,48.0, United-States,1,-1.210434683322278
282,42.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,1,0.2915047803975087
283,34.0, Assoc-acdm,12.0, Divorced, Sales, Unmarried, Black, Female,45.0, United-States,0,-0.3760238701446187
284,60.0, Bachelors,13.0, Divorced, Prof-specialty, Not-in-family, White, Female,42.0, United-States,0,1.7934442441172955
285,21.0, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,40.0, United-States,0,-1.460757927275576
286,57.0, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,1,1.543121000163998
288,50.0, Some-college,10.0, Divorced, Other-service, Not-in-family, White, Male,45.0, United-States,0,0.9590334309396364
289,25.0, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,40.0, United-States,0,-1.1269936020045122
291,36.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,45.0, United-States,0,-0.2091417075090868
292,31.0, HS-grad,9.0, Divorced, Prof-specialty, Not-in-family, White, Female,40.0, United-States,0,-0.6263471140979165
294,21.0, Some-college,10.0, Never-married, Sales, Own-child, White, Male,45.0, United-States,0,-1.460757927275576
295,27.0, Bachelors,13.0, Never-married, Tech-support, Unmarried, Black, Female,40.0, United-States,0,-0.9601114393689804
298,39.0, Masters,14.0, Married-civ-spouse,new_missing, Wife, Asian-Pac-Islander, Female,40.0,new_missing,0,0.0411815364442109
299,24.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,40.0, United-States,0,-1.210434683322278
301,48.0, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,1,0.7921512683041044
303,31.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,45.0, United-States,1,-0.6263471140979165
304,55.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,1,1.376238837528466
305,24.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,40.0, Laos,0,-1.210434683322278
306,43.0, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,40.0, United-States,0,0.3749458617152747
307,26.0, Assoc-acdm,12.0, Never-married, Tech-support, Not-in-family, White, Male,45.0, United-States,0,-1.0435525206867462
308,46.0, Assoc-acdm,12.0, Never-married, Prof-specialty, Not-in-family, White, Female,33.0, United-States,0,0.6252691056685725
309,35.0, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,40.0, United-States,1,-0.2925827888268528
311,26.0, Bachelors,13.0, Never-married, Sales, Not-in-family, White, Male,40.0, United-States,0,-1.0435525206867462
312,34.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,35.0, Taiwan,1,-0.3760238701446187
314,36.0, Bachelors,13.0, Divorced, Prof-specialty, Not-in-family, Black, Female,40.0, United-States,1,-0.2091417075090868
316,24.0, Some-college,10.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,40.0, United-States,0,-1.210434683322278
317,77.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,40.0, United-States,0,3.2119426265193165
319,29.0, Some-college,10.0, Never-married, Tech-support, Not-in-family, White, Female,40.0, United-States,0,-0.7932292767334485
321,39.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,0,0.0411815364442109
322,43.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,50.0, United-States,0,0.3749458617152747
